domain,name,min,max,avg,total,count
OpenCVTrace,"void __cdecl cv::utils::logging::LogTagManager::assign(const class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > &,struct cv::utils::logging::LogTag *)",12501,12501,12501.0,12501,1
OpenCVTrace,"struct cv::utils::logging::LogTag *__cdecl cv::utils::logging::LogTagManager::get(const class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > &)",1199,1199,1199.0,1199,1
OpenCVTrace,"__cdecl cv::VideoCapture::VideoCapture(int,int)",473752800,473752800,473752800.0,473752800,1
OpenCVTrace,bool __cdecl cv::VideoCapture::read(const class cv::_OutputArray &),654700,113968201,3001269.934640523,918388600,306
OpenCVTrace,__cdecl cv::VideoCapture::~VideoCapture(void),1900,495741100,247871500.0,495743000,2
OpenCVTrace,"void __cdecl cv::flip(const class cv::_InputArray &,const class cv::_OutputArray &,int)",279000,1280900,328871.2,100305716,305
OpenCVTrace,"void __cdecl cv::cvtColor(const class cv::_InputArray &,const class cv::_OutputArray &,int,int)",58499,6235300,376496.8327586207,655104489,1740
OpenCVTrace,"void __cdecl cv::resize(const class cv::_InputArray &,const class cv::_OutputArray &,class cv::Size_<int>,double,double,int)",77600,982499,343783.74322732625,291872398,849
OpenCVTrace,"void __cdecl cv::Mat::convertTo(const class cv::_OutputArray &,int,double,double) const",2801,2851199,383458.33019271947,895375201,2335
OpenCVTrace,"void __cdecl cv::split(const class cv::_InputArray &,const class cv::_OutputArray &)",12900,995901,272446.72068965517,237028647,870
OpenCVTrace,"void __cdecl cv::exp(const class cv::_InputArray &,const class cv::_OutputArray &)",51500,1334101,65418.471153846156,34017605,520
OpenCVTrace,"void __cdecl cv::MatOp::divide(const class cv::MatExpr &,const class cv::MatExpr &,class cv::MatExpr &,double) const",11699,1283300,29518.015384615384,7674684,260
OpenCVTrace,"void __cdecl cv::divide(const class cv::_InputArray &,const class cv::_InputArray &,const class cv::_OutputArray &,double,int)",8700,1309600,22441.957692307693,5834909,260
OpenCVTrace,"void __cdecl cv::subtract(const class cv::_InputArray &,const class cv::_InputArray &,const class cv::_OutputArray &,const class cv::_InputArray &,int)",22000,2698300,34501.88076923077,8970489,260
OpenCVTrace,"void __cdecl cv::min(const class cv::_InputArray &,const class cv::_InputArray &,const class cv::_OutputArray &)",18999,1302600,546730.5236714976,565866092,1035
OpenCVTrace,"void __cdecl cv::max(const class cv::_InputArray &,const class cv::_InputArray &,const class cv::_OutputArray &)",18299,976899,387052.0695652174,400598892,1035
OpenCVTrace,void __cdecl cv::Mat::copyTo(const class cv::_OutputArray &) const,1699,1223200,428105.46131471783,735913288,1719
OpenCVTrace,"double __cdecl cv::threshold(const class cv::_InputArray &,const class cv::_OutputArray &,double,double,int)",10700,1301800,359680.24516129034,278752190,775
OpenCVTrace,"void __cdecl cv::findContours(const class cv::_InputArray &,const class cv::_OutputArray &,const class cv::_OutputArray &,int,int,class cv::Point_<int>)",22100,590800,38458.442307692305,9999195,260
OpenCVTrace,"class cv::MatExpr __cdecl cv::Mat::zeros(class cv::Size_<int>,int)",199,6301,522.2807692307692,135793,260
OpenCVTrace,class cv::Mat &__cdecl cv::Mat::operator =(const class cv::Scalar_<double> &),399,1700,493.07307692307694,128199,260
OpenCVTrace,"double __cdecl cv::contourArea(const class cv::_InputArray &,bool)",99,10000,224.96038691847076,488389,2171
OpenCVTrace,"void __cdecl cv::drawContours(const class cv::_InputOutputArray &,const class cv::_InputArray &,int,const class cv::Scalar_<double> &,int,int,const class cv::_InputArray &,int,class cv::Point_<int>)",699,650700,9370.145965548503,10335271,1103
OpenCVTrace,"void __cdecl cv::morphologyEx(const class cv::_InputArray &,const class cv::_OutputArray &,int,const class cv::_InputArray &,class cv::Point_<int>,int,int,const class cv::Scalar_<double> &)",39300,1384001,47343.14615384615,12309218,260
OpenCVTrace,"class cv::MatExpr __cdecl cv::Mat::mul(const class cv::_InputArray &,double) const",100,9799,512.7192307692308,266614,520
OpenCVTrace,"void __cdecl cv::multiply(const class cv::_InputArray &,const class cv::_InputArray &,const class cv::_OutputArray &,double,int)",157401,962700,263864.5903846154,137209587,520
OpenCVTrace,"void __cdecl cv::MatOp_AddEx::multiply(const class cv::MatExpr &,double,class cv::MatExpr &) const",99,12699,469.2692307692308,122010,260
OpenCVTrace,"void __cdecl cv::sqrt(const class cv::_InputArray &,const class cv::_OutputArray &)",84300,770299,90970.35384615384,23652292,260
OpenCVTrace,"void __cdecl cv::max(const class cv::Mat &,const class cv::Mat &,class cv::Mat &)",218500,458900,267629.6307692308,139167408,520
OpenCVTrace,"void __cdecl cv::bitwise_and(const class cv::_InputArray &,const class cv::_InputArray &,const class cv::_OutputArray &,const class cv::_InputArray &)",40000,797100,54932.33076923077,14282406,260
OpenCVTrace,"void __cdecl cv::blur(const class cv::_InputArray &,const class cv::_OutputArray &,class cv::Size_<int>,class cv::Point_<int>,int)",1484099,2383800,1642567.3461538462,427067510,260
OpenCVTrace,"void __cdecl cv::inRange(const class cv::_InputArray &,const class cv::_InputArray &,const class cv::_InputArray &,const class cv::_OutputArray &)",168801,497001,260192.6846153846,202950294,780
OpenCVTrace,"void __cdecl cv::Mat::copyTo(const class cv::_OutputArray &,const class cv::_InputArray &) const",153700,431299,224010.26601941747,115365287,515
OpenCVTrace,"class cv::Mat &__cdecl cv::Mat::setTo(const class cv::_InputArray &,const class cv::_InputArray &)",14600,823400,126343.12363636364,104233077,825
OpenCVTrace,"void __cdecl cv::merge(const class cv::_InputArray &,const class cv::_OutputArray &)",114100,774301,143124.29836065572,43652911,305
OpenCVTrace,"void __cdecl cv::putText(const class cv::_InputOutputArray &,const class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > &,class cv::Point_<int>,int,double,class cv::Scalar_<double>,int,int,bool)",73900,3509101,669743.7754098361,817087406,1220
OpenCVTrace,"void __cdecl cv::dilate(const class cv::_InputArray &,const class cv::_OutputArray &,const class cv::_InputArray &,class cv::Point_<int>,int,int,const class cv::Scalar_<double> &)",165399,1358101,249029.02352941176,63502401,255
OpenCVTrace,"void __cdecl cv::erode(const class cv::_InputArray &,const class cv::_OutputArray &,const class cv::_InputArray &,class cv::Point_<int>,int,int,const class cv::Scalar_<double> &)",150901,588400,220498.83529411766,56227203,255
OpenCVTrace,"void __cdecl cv::absdiff(const class cv::_InputArray &,const class cv::_InputArray &,const class cv::_OutputArray &)",4800,733900,118889.1640866873,38401200,323
OpenCVTrace,"void __cdecl cv::MatOp::add(const class cv::MatExpr &,const class cv::MatExpr &,class cv::MatExpr &) const",99,7500,305.5078431372549,155809,510
OpenCVTrace,"void __cdecl cv::addWeighted(const class cv::_InputArray &,double,const class cv::_InputArray &,double,double,const class cv::_OutputArray &,int)",700099,1620600,854468.2352941176,435778800,510
OpenCVTrace,"class cv::Scalar_<double> __cdecl cv::mean(const class cv::_InputArray &,const class cv::_InputArray &)",1999,2298300,20799.301470588234,2828705,136
intel_gpu_plugin,Plugin::get_property,15900,382801,199350.5,398701,2
intel_gpu_plugin,TransformationsPipeline::apply::run_passes,4721199,4721199,4721199.0,4721199,1
intel_gpu_plugin,TransformationsPipeline::apply::activations_scaling,27745700,27745700,27745700.0,27745700,1
intel_gpu_plugin,TransformationsPipeline::apply,460196600,460196600,460196600.0,460196600,1
intel_gpu_plugin,Plugin::transform_model,461084200,461084200,461084200.0,461084200,1
intel_gpu_plugin,Plugin::clone_and_transform_model,484585200,484585200,484585200.0,484585200,1
intel_gpu_plugin,CustomLayer::LoadFromFile,500,221700,111100.0,222200,2
intel_gpu_plugin,ProgramBuilder::CreateSingleLayerPrimitive,99,470500,6365.109263657957,2679711,421
intel_gpu_plugin,Program::init_graph,286400,928099,607249.5,1214499,2
intel_gpu_plugin,pass::select_preferred_formats,6337299,6337299,6337299.0,6337299,1
intel_gpu_plugin,Program::pre_optimize_graph,231200,12473299,6352249.5,12704499,2
intel_gpu_plugin,KernelsCache::BuildAll::GetProgramSource,45999,2136200,948733.3333333334,2846200,3
intel_gpu_plugin,KernelsCache::build_batch,619101,3833400,2550320.2,12751601,5
intel_gpu_plugin,KernelsCache::BuildAll,3379400,6139200,4336466.666666667,13009400,3
intel_gpu_plugin,pass::CompileGraph,15427999,319546999,167487499.0,334974998,2
intel_gpu_plugin,Program::post_optimize_graph,137900,422562701,211350300.5,422700601,2
intel_gpu_plugin,pass::BasicMemoryDependencies,54000,89601,71800.5,143601,2
