domain,name,min,max,avg,total,count
OpenCVTrace,"void __cdecl cv::utils::logging::LogTagManager::assign(const class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > &,struct cv::utils::logging::LogTag *)",14300,14300,14300.0,14300,1
OpenCVTrace,"struct cv::utils::logging::LogTag *__cdecl cv::utils::logging::LogTagManager::get(const class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > &)",1400,1400,1400.0,1400,1
OpenCVTrace,"__cdecl cv::VideoCapture::VideoCapture(int,int)",473458400,473458400,473458400.0,473458400,1
OpenCVTrace,bool __cdecl cv::VideoCapture::read(const class cv::_OutputArray &),732900,115334200,1447942.8262711863,341714507,236
OpenCVTrace,__cdecl cv::VideoCapture::~VideoCapture(void),2100,484606301,242304200.5,484608401,2
OpenCVTrace,"void __cdecl cv::flip(const class cv::_InputArray &,const class cv::_OutputArray &,int)",280700,552800,325896.6127659574,76585704,235
OpenCVTrace,"void __cdecl cv::cvtColor(const class cv::_InputArray &,const class cv::_OutputArray &,int,int)",54000,6149699,381120.42624113476,537379801,1410
OpenCVTrace,"void __cdecl cv::resize(const class cv::_InputArray &,const class cv::_OutputArray &,class cv::Size_<int>,double,double,int)",150601,1146899,389227.48085106385,274405374,705
OpenCVTrace,"void __cdecl cv::Mat::convertTo(const class cv::_OutputArray &,int,double,double) const",4699,1490100,379122.20322122215,800326971,2111
OpenCVTrace,"void __cdecl cv::split(const class cv::_InputArray &,const class cv::_OutputArray &)",20500,875001,268848.78865248227,189538396,705
OpenCVTrace,void __cdecl cv::Mat::copyTo(const class cv::_OutputArray &) const,999,1737001,399619.5927051672,657374230,1645
OpenCVTrace,"void __cdecl cv::min(const class cv::_InputArray &,const class cv::_InputArray &,const class cv::_OutputArray &)",41300,3120500,598870.4294871795,560542722,936
OpenCVTrace,"void __cdecl cv::max(const class cv::_InputArray &,const class cv::_InputArray &,const class cv::_OutputArray &)",36199,1308500,443867.29273504275,415459786,936
OpenCVTrace,"double __cdecl cv::threshold(const class cv::_InputArray &,const class cv::_OutputArray &,double,double,int)",15300,1219000,351377.5820256776,246315685,701
OpenCVTrace,"void __cdecl cv::findContours(const class cv::_InputArray &,const class cv::_OutputArray &,const class cv::_OutputArray &,int,int,class cv::Point_<int>)",27001,637101,55793.65957446808,13111510,235
OpenCVTrace,"class cv::MatExpr __cdecl cv::Mat::zeros(class cv::Size_<int>,int)",500,56201,1181.7702127659575,277716,235
OpenCVTrace,class cv::Mat &__cdecl cv::Mat::operator =(const class cv::Scalar_<double> &),601,11400,929.8127659574468,218506,235
OpenCVTrace,"double __cdecl cv::contourArea(const class cv::_InputArray &,bool)",99,11000,193.59390321892985,908149,4691
OpenCVTrace,"void __cdecl cv::drawContours(const class cv::_InputOutputArray &,const class cv::_InputArray &,int,const class cv::Scalar_<double> &,int,int,const class cv::_InputArray &,int,class cv::Point_<int>)",699,860500,6673.3006304176515,16936837,2538
OpenCVTrace,"void __cdecl cv::morphologyEx(const class cv::_InputArray &,const class cv::_OutputArray &,int,const class cv::_InputArray &,class cv::Point_<int>,int,int,const class cv::Scalar_<double> &)",58000,1267401,68444.23404255319,16084395,235
OpenCVTrace,"class cv::MatExpr __cdecl cv::Mat::mul(const class cv::_InputArray &,double) const",199,54401,657.2255319148936,308896,470
OpenCVTrace,"void __cdecl cv::multiply(const class cv::_InputArray &,const class cv::_InputArray &,const class cv::_OutputArray &,double,int)",161000,1038200,275536.76382978726,129502279,470
OpenCVTrace,"void __cdecl cv::MatOp_AddEx::multiply(const class cv::MatExpr &,double,class cv::MatExpr &) const",99,14000,373.1872340425532,87699,235
OpenCVTrace,"void __cdecl cv::sqrt(const class cv::_InputArray &,const class cv::_OutputArray &)",84200,888200,93908.11489361702,22068407,235
OpenCVTrace,"void __cdecl cv::max(const class cv::Mat &,const class cv::Mat &,class cv::Mat &)",217699,906900,273947.9,128755513,470
OpenCVTrace,"void __cdecl cv::bitwise_and(const class cv::_InputArray &,const class cv::_InputArray &,const class cv::_OutputArray &,const class cv::_InputArray &)",41600,759700,58268.097872340426,13693003,235
OpenCVTrace,"void __cdecl cv::blur(const class cv::_InputArray &,const class cv::_OutputArray &,class cv::Size_<int>,class cv::Point_<int>,int)",1481500,2319399,1674868.5106382978,393594100,235
OpenCVTrace,"void __cdecl cv::inRange(const class cv::_InputArray &,const class cv::_InputArray &,const class cv::_InputArray &,const class cv::_OutputArray &)",168301,736601,261692.04964539007,184492895,705
OpenCVTrace,"void __cdecl cv::Mat::copyTo(const class cv::_OutputArray &,const class cv::_InputArray &) const",151501,633200,259036.09012875537,120710818,466
OpenCVTrace,"class cv::Mat &__cdecl cv::Mat::setTo(const class cv::_InputArray &,const class cv::_InputArray &)",14600,734800,137826.11489361702,97167411,705
OpenCVTrace,"void __cdecl cv::merge(const class cv::_InputArray &,const class cv::_OutputArray &)",109800,770600,144656.0978723404,33994183,235
OpenCVTrace,"void __cdecl cv::putText(const class cv::_InputOutputArray &,const class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > &,class cv::Point_<int>,int,double,class cv::Scalar_<double>,int,int,bool)",79099,3076500,725932.1180851064,682376191,940
OpenCVTrace,"void __cdecl cv::dilate(const class cv::_InputArray &,const class cv::_OutputArray &,const class cv::_InputArray &,class cv::Point_<int>,int,int,const class cv::Scalar_<double> &)",166800,1340201,250559.27705627706,57879193,231
OpenCVTrace,"void __cdecl cv::erode(const class cv::_InputArray &,const class cv::_OutputArray &,const class cv::_InputArray &,class cv::Point_<int>,int,int,const class cv::Scalar_<double> &)",150700,365400,213834.2077922078,49395702,231
OpenCVTrace,"void __cdecl cv::absdiff(const class cv::_InputArray &,const class cv::_InputArray &,const class cv::_OutputArray &)",38900,1031800,132081.41558441558,30510807,231
OpenCVTrace,"void __cdecl cv::MatOp::add(const class cv::MatExpr &,const class cv::MatExpr &,class cv::MatExpr &) const",100,60200,462.37012987012986,213615,462
OpenCVTrace,"void __cdecl cv::addWeighted(const class cv::_InputArray &,double,const class cv::_InputArray &,double,double,const class cv::_OutputArray &,int)",705899,1757200,868548.7251082251,401269511,462
intel_gpu_plugin,Plugin::get_property,13599,386400,199999.5,399999,2
intel_gpu_plugin,TransformationsPipeline::apply::run_passes,3278300,3278300,3278300.0,3278300,1
intel_gpu_plugin,TransformationsPipeline::apply::activations_scaling,24279800,24279800,24279800.0,24279800,1
intel_gpu_plugin,TransformationsPipeline::apply,438598601,438598601,438598601.0,438598601,1
intel_gpu_plugin,Plugin::transform_model,439230701,439230701,439230701.0,439230701,1
intel_gpu_plugin,Plugin::clone_and_transform_model,462666700,462666700,462666700.0,462666700,1
intel_gpu_plugin,CustomLayer::LoadFromFile,200,116000,58100.0,116200,2
intel_gpu_plugin,ProgramBuilder::CreateSingleLayerPrimitive,99,448999,7128.813186813187,2594888,364
intel_gpu_plugin,Program::init_graph,289700,869200,579450.0,1158900,2
intel_gpu_plugin,pass::select_preferred_formats,6548500,6548500,6548500.0,6548500,1
intel_gpu_plugin,Program::pre_optimize_graph,253800,12591800,6422800.0,12845600,2
intel_gpu_plugin,KernelsCache::BuildAll::GetProgramSource,35900,1067800,551850.0,1103700,2
intel_gpu_plugin,KernelsCache::build_batch,547500,2859601,1774900.3333333333,5324701,3
intel_gpu_plugin,KernelsCache::BuildAll,400,4087800,2181100.0,6543300,3
intel_gpu_plugin,pass::CompileGraph,10049400,335552599,172800999.5,345601999,2
intel_gpu_plugin,Program::post_optimize_graph,142800,388659501,194401150.5,388802301,2
intel_gpu_plugin,pass::BasicMemoryDependencies,44500,86599,65549.5,131099,2
