domain,name,min,max,avg,total,count
OpenCVTrace,"void __cdecl cv::utils::logging::LogTagManager::assign(const class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > &,struct cv::utils::logging::LogTag *)",14899,14899,14899.0,14899,1
OpenCVTrace,"struct cv::utils::logging::LogTag *__cdecl cv::utils::logging::LogTagManager::get(const class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > &)",1499,1499,1499.0,1499,1
OpenCVTrace,"__cdecl cv::VideoCapture::VideoCapture(int,int)",567983400,567983400,567983400.0,567983400,1
OpenCVTrace,bool __cdecl cv::VideoCapture::read(const class cv::_OutputArray &),599000,113339600,1463788.1273584906,310323083,212
OpenCVTrace,__cdecl cv::VideoCapture::~VideoCapture(void),2800,505147200,252575000.0,505150000,2
OpenCVTrace,"void __cdecl cv::flip(const class cv::_InputArray &,const class cv::_OutputArray &,int)",288100,946401,332195.28909952607,70093206,211
OpenCVTrace,"void __cdecl cv::cvtColor(const class cv::_InputArray &,const class cv::_OutputArray &,int,int)",57099,8072499,379248.5071090047,480128610,1266
OpenCVTrace,"void __cdecl cv::resize(const class cv::_InputArray &,const class cv::_OutputArray &,class cv::Size_<int>,double,double,int)",105701,1074400,397499.0679304897,251616910,633
OpenCVTrace,"void __cdecl cv::Mat::convertTo(const class cv::_OutputArray &,int,double,double) const",7700,1659800,385699.27032734954,730514418,1894
OpenCVTrace,"void __cdecl cv::split(const class cv::_InputArray &,const class cv::_OutputArray &)",31601,1022599,204328.58451816745,129339994,633
OpenCVTrace,"void __cdecl cv::min(const class cv::_InputArray &,const class cv::_InputArray &,const class cv::_OutputArray &)",59601,3361100,565059.3301549463,474084778,839
OpenCVTrace,"void __cdecl cv::max(const class cv::_InputArray &,const class cv::_InputArray &,const class cv::_OutputArray &)",51000,1257100,394786.7568533969,331226089,839
OpenCVTrace,void __cdecl cv::Mat::copyTo(const class cv::_OutputArray &) const,2100,1475101,470012.30331753555,595035576,1266
OpenCVTrace,"double __cdecl cv::threshold(const class cv::_InputArray &,const class cv::_OutputArray &,double,double,int)",44699,1639900,367050.7770700637,230507888,628
OpenCVTrace,"void __cdecl cv::findContours(const class cv::_InputArray &,const class cv::_OutputArray &,const class cv::_OutputArray &,int,int,class cv::Point_<int>)",41000,718899,68639.28436018957,14482889,211
OpenCVTrace,"class cv::MatExpr __cdecl cv::Mat::zeros(class cv::Size_<int>,int)",500,8200,900.473933649289,190000,211
OpenCVTrace,class cv::Mat &__cdecl cv::Mat::operator =(const class cv::Scalar_<double> &),900,12700,1283.9289099526065,270909,211
OpenCVTrace,"double __cdecl cv::contourArea(const class cv::_InputArray &,bool)",99,11601,235.37363344051448,366006,1555
OpenCVTrace,"void __cdecl cv::drawContours(const class cv::_InputOutputArray &,const class cv::_InputArray &,int,const class cv::Scalar_<double> &,int,int,const class cv::_InputArray &,int,class cv::Point_<int>)",699,779099,10868.779389312976,14238101,1310
OpenCVTrace,"void __cdecl cv::morphologyEx(const class cv::_InputArray &,const class cv::_OutputArray &,int,const class cv::_InputArray &,class cv::Point_<int>,int,int,const class cv::Scalar_<double> &)",72400,1578000,85258.8009478673,17989607,211
OpenCVTrace,"class cv::MatExpr __cdecl cv::Mat::mul(const class cv::_InputArray &,double) const",100,6000,477.7654028436019,201617,422
OpenCVTrace,"void __cdecl cv::multiply(const class cv::_InputArray &,const class cv::_InputArray &,const class cv::_OutputArray &,double,int)",161100,990800,253827.20853080568,107115082,422
OpenCVTrace,"void __cdecl cv::MatOp_AddEx::multiply(const class cv::MatExpr &,double,class cv::MatExpr &) const",99,10500,308.9905213270142,65197,211
OpenCVTrace,"void __cdecl cv::sqrt(const class cv::_InputArray &,const class cv::_OutputArray &)",84301,1221300,96441.74407582938,20349208,211
OpenCVTrace,"void __cdecl cv::max(const class cv::Mat &,const class cv::Mat &,class cv::Mat &)",203000,522701,257244.73222748816,108557277,422
OpenCVTrace,"void __cdecl cv::bitwise_and(const class cv::_InputArray &,const class cv::_InputArray &,const class cv::_OutputArray &,const class cv::_InputArray &)",39100,721701,54878.16587677725,11579293,211
OpenCVTrace,"void __cdecl cv::blur(const class cv::_InputArray &,const class cv::_OutputArray &,class cv::Size_<int>,class cv::Point_<int>,int)",1524600,2394001,1642651.682464455,346599505,211
OpenCVTrace,"void __cdecl cv::inRange(const class cv::_InputArray &,const class cv::_InputArray &,const class cv::_InputArray &,const class cv::_OutputArray &)",174400,546900,229051.53080568722,144989619,633
OpenCVTrace,"void __cdecl cv::Mat::copyTo(const class cv::_OutputArray &,const class cv::_InputArray &) const",144700,443201,235282.96882494004,98112998,417
OpenCVTrace,"class cv::Mat &__cdecl cv::Mat::setTo(const class cv::_InputArray &,const class cv::_InputArray &)",14400,690301,136890.66034755134,86651788,633
OpenCVTrace,"void __cdecl cv::merge(const class cv::_InputArray &,const class cv::_OutputArray &)",107899,751701,135260.29383886256,28539922,211
OpenCVTrace,"void __cdecl cv::putText(const class cv::_InputOutputArray &,const class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > &,class cv::Point_<int>,int,double,class cv::Scalar_<double>,int,int,bool)",75301,3154900,710964.3329383886,600053897,844
OpenCVTrace,"void __cdecl cv::dilate(const class cv::_InputArray &,const class cv::_OutputArray &,const class cv::_InputArray &,class cv::Point_<int>,int,int,const class cv::Scalar_<double> &)",171101,1320599,200914.0145631068,41388287,206
OpenCVTrace,"void __cdecl cv::erode(const class cv::_InputArray &,const class cv::_OutputArray &,const class cv::_InputArray &,class cv::Point_<int>,int,int,const class cv::Scalar_<double> &)",153800,200400,164975.79126213593,33985013,206
OpenCVTrace,"void __cdecl cv::absdiff(const class cv::_InputArray &,const class cv::_InputArray &,const class cv::_OutputArray &)",43900,777000,134885.49029126213,27786411,206
OpenCVTrace,"void __cdecl cv::MatOp::add(const class cv::MatExpr &,const class cv::MatExpr &,class cv::MatExpr &) const",100,10699,345.873786407767,142500,412
OpenCVTrace,"void __cdecl cv::addWeighted(const class cv::_InputArray &,double,const class cv::_InputArray &,double,double,const class cv::_OutputArray &,int)",710601,1724899,834559.4296116505,343838485,412
intel_gpu_plugin,Plugin::get_property,12801,383500,198150.5,396301,2
intel_gpu_plugin,TransformationsPipeline::apply::run_passes,4645800,4645800,4645800.0,4645800,1
intel_gpu_plugin,TransformationsPipeline::apply::activations_scaling,32037200,32037200,32037200.0,32037200,1
intel_gpu_plugin,TransformationsPipeline::apply,529958800,529958800,529958800.0,529958800,1
intel_gpu_plugin,Plugin::transform_model,530643401,530643401,530643401.0,530643401,1
intel_gpu_plugin,Plugin::clone_and_transform_model,561930000,561930000,561930000.0,561930000,1
